TimePeriod,DonorType,Category,Value,Year,SurvivalRate
90 days,Deceased,Age,0-4,1996,81.6
90 days,Deceased,Age,0-4,1997,81.9
90 days,Deceased,Age,0-4,1998,96.7
90 days,Deceased,Age,0-4,1999,90.4
90 days,Deceased,Age,0-4,2000,86.9
90 days,Deceased,Age,0-4,2001,97
90 days,Deceased,Age,0-4,2002,85.9
90 days,Deceased,Age,0-4,2003,97.1
90 days,Deceased,Age,0-4,2004,95.2
90 days,Deceased,Age,0-4,2005,94.3
90 days,Deceased,Age,0-4,2006,97.1
90 days,Deceased,Age,0-4,2007,92.8
90 days,Deceased,Age,0-4,2008,91.6
90 days,Deceased,Age,0-4,2009,91.9
90 days,Deceased,Age,0-4,2010,100
90 days,Deceased,Age,0-4,2011,98.5
90 days,Deceased,Age,0-4,2012,95.1
90 days,Deceased,Age,05-9,1996,91.5
90 days,Deceased,Age,05-9,1997,96.8
90 days,Deceased,Age,05-9,1998,89.3
90 days,Deceased,Age,05-9,1999,86
90 days,Deceased,Age,05-9,2000,91.2
90 days,Deceased,Age,05-9,2001,98.2
90 days,Deceased,Age,05-9,2002,94.3
90 days,Deceased,Age,05-9,2003,95.6
90 days,Deceased,Age,05-9,2004,93
90 days,Deceased,Age,05-9,2005,97.3
90 days,Deceased,Age,05-9,2006,95.1
90 days,Deceased,Age,05-9,2007,93.5
90 days,Deceased,Age,05-9,2008,95.3
90 days,Deceased,Age,05-9,2009,95.3
90 days,Deceased,Age,05-9,2010,96.5
90 days,Deceased,Age,05-9,2011,98.6
90 days,Deceased,Age,05-9,2012,95.4
90 days,Deceased,Age,10-13,1996,90.6
90 days,Deceased,Age,10-13,1997,93.9
90 days,Deceased,Age,10-13,1998,91.7
90 days,Deceased,Age,10-13,1999,94.4
90 days,Deceased,Age,10-13,2000,98.5
90 days,Deceased,Age,10-13,2001,92.1
90 days,Deceased,Age,10-13,2002,96
90 days,Deceased,Age,10-13,2003,95.9
90 days,Deceased,Age,10-13,2004,98.9
90 days,Deceased,Age,10-13,2005,92.7
90 days,Deceased,Age,10-13,2006,95.1
90 days,Deceased,Age,10-13,2007,95.3
90 days,Deceased,Age,10-13,2008,97.1
90 days,Deceased,Age,10-13,2009,99
90 days,Deceased,Age,10-13,2010,95.2
90 days,Deceased,Age,10-13,2011,96.1
90 days,Deceased,Age,10-13,2012,95.9
90 days,Deceased,Age,14-17,1996,92.3
90 days,Deceased,Age,14-17,1997,95.1
90 days,Deceased,Age,14-17,1998,91
90 days,Deceased,Age,14-17,1999,91.7
90 days,Deceased,Age,14-17,2000,94.1
90 days,Deceased,Age,14-17,2001,96.1
90 days,Deceased,Age,14-17,2002,97.3
90 days,Deceased,Age,14-17,2003,95.6
90 days,Deceased,Age,14-17,2004,96.4
90 days,Deceased,Age,14-17,2005,97.1
90 days,Deceased,Age,14-17,2006,96.8
90 days,Deceased,Age,14-17,2007,97.6
90 days,Deceased,Age,14-17,2008,96.6
90 days,Deceased,Age,14-17,2009,96.9
90 days,Deceased,Age,14-17,2010,97.6
90 days,Deceased,Age,14-17,2011,98.2
90 days,Deceased,Age,14-17,2012,98.5
90 days,Deceased,Age,18-21,1996,88.3
90 days,Deceased,Age,18-21,1997,91
90 days,Deceased,Age,18-21,1998,88.2
90 days,Deceased,Age,18-21,1999,92.1
90 days,Deceased,Age,18-21,2000,89.7
90 days,Deceased,Age,18-21,2001,92.2
90 days,Deceased,Age,18-21,2002,94.6
90 days,Deceased,Age,18-21,2003,93.6
90 days,Deceased,Age,18-21,2004,96.1
90 days,Deceased,Age,18-21,2005,95.2
90 days,Deceased,Age,18-21,2006,94.4
90 days,Deceased,Age,18-21,2007,93.9
90 days,Deceased,Age,18-21,2008,95
90 days,Deceased,Age,18-21,2009,93.4
90 days,Deceased,Age,18-21,2010,94.3
90 days,Deceased,Age,18-21,2011,97.2
90 days,Deceased,Age,18-21,2012,97.1
90 days,Deceased,Age,22-24,1996,89.1
90 days,Deceased,Age,22-24,1997,92.7
90 days,Deceased,Age,22-24,1998,90.8
90 days,Deceased,Age,22-24,1999,92.9
90 days,Deceased,Age,22-24,2000,92.8
90 days,Deceased,Age,22-24,2001,97.3
90 days,Deceased,Age,22-24,2002,96.3
90 days,Deceased,Age,22-24,2003,94.2
90 days,Deceased,Age,22-24,2004,95.8
90 days,Deceased,Age,22-24,2005,93.2
90 days,Deceased,Age,22-24,2006,95
90 days,Deceased,Age,22-24,2007,96.4
90 days,Deceased,Age,22-24,2008,94.2
90 days,Deceased,Age,22-24,2009,94.5
90 days,Deceased,Age,22-24,2010,96.9
90 days,Deceased,Age,22-24,2011,97.2
90 days,Deceased,Age,22-24,2012,97.5
90 days,Deceased,Age,25-29,1996,90.5
90 days,Deceased,Age,25-29,1997,93.9
90 days,Deceased,Age,25-29,1998,92.1
90 days,Deceased,Age,25-29,1999,93.2
90 days,Deceased,Age,25-29,2000,91.6
90 days,Deceased,Age,25-29,2001,91.2
90 days,Deceased,Age,25-29,2002,92.5
90 days,Deceased,Age,25-29,2003,92.5
90 days,Deceased,Age,25-29,2004,94.5
90 days,Deceased,Age,25-29,2005,93
90 days,Deceased,Age,25-29,2006,95.9
90 days,Deceased,Age,25-29,2007,94.2
90 days,Deceased,Age,25-29,2008,95.5
90 days,Deceased,Age,25-29,2009,96.9
90 days,Deceased,Age,25-29,2010,95.5
90 days,Deceased,Age,25-29,2011,96.1
90 days,Deceased,Age,25-29,2012,95.9
90 days,Deceased,Age,30-34,1996,90.7
90 days,Deceased,Age,30-34,1997,91.9
90 days,Deceased,Age,30-34,1998,93.1
90 days,Deceased,Age,30-34,1999,92
90 days,Deceased,Age,30-34,2000,92.9
90 days,Deceased,Age,30-34,2001,92.7
90 days,Deceased,Age,30-34,2002,92.7
90 days,Deceased,Age,30-34,2003,92.5
90 days,Deceased,Age,30-34,2004,92.8
90 days,Deceased,Age,30-34,2005,93.3
90 days,Deceased,Age,30-34,2006,93.7
90 days,Deceased,Age,30-34,2007,94.8
90 days,Deceased,Age,30-34,2008,94.5
90 days,Deceased,Age,30-34,2009,93.6
90 days,Deceased,Age,30-34,2010,95.4
90 days,Deceased,Age,30-34,2011,96.7
90 days,Deceased,Age,30-34,2012,95.6
90 days,Deceased,Age,35-39,1996,92
90 days,Deceased,Age,35-39,1997,90.6
90 days,Deceased,Age,35-39,1998,92
90 days,Deceased,Age,35-39,1999,90.1
90 days,Deceased,Age,35-39,2000,93.5
90 days,Deceased,Age,35-39,2001,93.5
90 days,Deceased,Age,35-39,2002,92.2
90 days,Deceased,Age,35-39,2003,91.9
90 days,Deceased,Age,35-39,2004,93.8
90 days,Deceased,Age,35-39,2005,94.4
90 days,Deceased,Age,35-39,2006,95.4
90 days,Deceased,Age,35-39,2007,95.9
90 days,Deceased,Age,35-39,2008,95.6
90 days,Deceased,Age,35-39,2009,94.5
90 days,Deceased,Age,35-39,2010,94
90 days,Deceased,Age,35-39,2011,95.5
90 days,Deceased,Age,35-39,2012,96.5
90 days,Deceased,Age,40-44,1996,91.6
90 days,Deceased,Age,40-44,1997,92.2
90 days,Deceased,Age,40-44,1998,93.9
90 days,Deceased,Age,40-44,1999,92.9
90 days,Deceased,Age,40-44,2000,92.1
90 days,Deceased,Age,40-44,2001,92.7
90 days,Deceased,Age,40-44,2002,93.9
90 days,Deceased,Age,40-44,2003,94.6
90 days,Deceased,Age,40-44,2004,93.9
90 days,Deceased,Age,40-44,2005,94
